symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
AALI.JK,PT Astra Agro Lestari Tbk,"PT Astra Agro Lestari Tbk, together with its subsidiaries, engages in the palm oil business in Indonesia. It provides crude palm oil and its derivatives, palm kernel and its derivatives, and other products. The company manages 286,877 hectares of oil palm plantations in Sumatra, Kalimantan, and Sulawesi. It also operates palm oil refineries in the Mamuju Utara Regency in West Sulawesi province; and Dumai, Riau province. In addition, the company exports its processed palm oil products, including olein, and stearin to China, Bangladesh, Pakistan, Malaysia, the Philippines, and South Korea. Further, it operates fertilizer blending plants; and engages in the integrated cattle-in-plantation business. The company was founded in 1988 and is headquartered in Jakarta, Indonesia. PT Astra Agro Lestari Tbk is a subsidiary of PT Astra International Tbk.",IDR,Consumer Staples,Household & Personal Products,Household Products,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Jakarta,13930.0,http://www.astra-agro.co.id,Small Cap,,,BBG000BBWLC7,BBG000BBWKM8,BBG001S65MQ1,False
ABBA.JK,PT Mahaka Media Tbk,"PT Mahaka Media Tbk, through its subsidiaries, operates as a multiplatform media company in Indonesia and internationally. It engages in making, selling, collecting, and distributing community contents through various platforms. The company publishes Harian Republika Daily, a Moslem newspaper; Republika Penerbit, which specializes in Islamic reference books, novels, and children stories; Golf Digest, a golf media, including e-magazine, e-newsletter, and social media, as well as golfdigest.id, a Website; and Harian Indonesia, a Chinese-language newspaper. It also provides Republika Media Visual, which offers content and program with Islamic background; Jak TV, a television station; and various commercial radio stations, including JAK 101 FM, GEN 98.7 FM Jakarta, GEN 103.1 FM, Surabaya, HOT 93.2 FM, Most Radio 105.8 FM, KIS 95.1 FM, and Mustang 88.0 FM. In addition, the company offers outdoor advertising media services under the Mahaka Advertising name; brand activation services under the Alive Indonesia name; and discount services under the CardPlus name. Further, it provides online services through Jak-tv.co.id, 98.7 GenFM.co.id, 101 JakFM.co.id, and Republika.co.id. The company was formerly known as PT Abdi Bangsa Tbk and changed its name to PT Mahaka Media Tbk in May 2010. PT Mahaka Media Tbk was founded in 1992 and is headquartered in Jakarta, Indonesia. PT Mahaka Media Tbk is a subsidiary of PT Beyond Media.",IDR,Communication Services,Telecommunication Services,Diversified Telecommunication Services,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Jakarta,10220.0,http://www.mahakamedia.com,Nano Cap,,26210W605,,,,False
ABDA.JK,PT Asuransi Bina Dana Arta Tbk,"PT Asuransi Bina Dana Arta Tbk operates as a general insurance company in Indonesia. The company offers motor vehicle, fire, personal accident and health, engineering, marine cargo, and surety and bond insurance products. It also engages in the motor vehicle workshop and repair business. The company was founded in 1982 and is headquartered in Jakarta, Indonesia. PT Asuransi Bina Dana Arta Tbk is a subsidiary of Mapfre Internacional SA.",IDR,Financials,Insurance,Insurance,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Jakarta,12190.0,http://www.abdainsurance.co.id,Small Cap,LU1646950771,,,BBG00J3XPC53,BBG00J415XG6,False
ABMM.JK,PT ABM Investama Tbk,"PT ABM Investama Tbk operates in the energy resources, energy services, and energy infrastructure sectors in Indonesia. It operates in three segments: Mining Contractors and Coal Mining, Services, and Fabrication. The company owns coal mining concessions; supplies fuel for mining process; and supports engineered product and manufacturing services for mining activities. It offers port management services, which include technical and operational management services for handling, storing, loading and unloading operations; stevedoring and seaport services; floating crane, harbor tug, tug boat, and transshipment logistics services; warehousing management solutions for storage, inventory management, and distribution; freight management services; transportation management services for overweight and oversized items, such as transportation of heavy equipment, machinery, factory equipment, and power plants; integrated logistics and material management services for resource and energy industry, including drilling, exploration, and production activities. It also provides business management consulting services, including planning and designing the framework of developing business management in mining, energy, engineering, industry, oil, gas and geothermal energy, energy resources, and other consulting services; and rents offices and residential areas, as well as heavy equipment in mining and other industries. In addition, the company engages in the trade of petroleum; provides electricity solutions; manufactures equipment for heavy equipment and material transportation; and produces low calorific thermal coal. The company was formerly known as PT Adiratna Bani Makmur and changed its name to PT ABM Investama Tbk in August 2009. The company was founded in 2006 and is based in South Jakarta, Indonesia. PT ABM Investama Tbk is a subsidiary of Valle Verde Pte. Ltd.",IDR,Materials,Materials,Metals & Mining,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Jakarta Selatan,12560.0,http://www.abm-investama.com,Micro Cap,,,,,,False
ACES.JK,PT Aspirasi Hidup Indonesia Tbk,"PT Aspirasi Hidup Indonesia Tbk engages in the retail of home improvement products in Indonesia. The company operates through Home Improvement Products, Lifestyle Products, and Toys Products segments. It offers bathroom and laundry, renovation and household equipment, electronics, and lamp and bulbs; kitchen, hobby and lifestyle, home accents, Olahraga dan outdoor, automotive, and cleaning tools; and toys. The company also engages in trading; real estate; transportation and warehousing; accommodation and food and beverage services; and information and communication business. It operates retail outlets under the AZKO, ATARU, Pendopo, and Toys Kingdom brands, as well as online shopping sites under the ruparupa brand. The company was formerly known as PT Ace Hardware Indonesia Tbk and changed its name to PT Aspirasi Hidup Indonesia Tbk in June 2024. PT Aspirasi Hidup Indonesia Tbk was founded in 1995 and is headquartered in Jakarta, Indonesia. PT Aspirasi Hidup Indonesia Tbk is a subsidiary of Kawan Lama Sejahtera, PT.",IDR,,,,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,,,,,,,,,,False
ACST.JK,PT Acset Indonusa Tbk,"PT Acset Indonusa Tbk provides construction and related support services in Indonesia. It operates through Construction, Construction Support Services, and Trading segments. The company builds department stores, hotels, offices, apartments, bridges, toll roads, and other projects. It also undertakes demolition, foundation, building and civil, and infrastructure, as well as mechanical, electrical, and plumbing works; and provides construction support services. In addition, the company is involved in the wholesale of heavy equipment. PT Acset Indonusa Tbk was founded in 1995 and is based in Jakarta, Indonesia. PT Acset Indonusa Tbk is a subsidiary of PT Karya Supra Perkasa.",IDR,Industrials,Capital Goods,Construction & Engineering,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Jakarta,10160.0,http://www.acset.co,Micro Cap,,,,,,False
ADES.JK,PT Akasha Wira International Tbk,"PT Akasha Wira International Tbk manufactures and distributes bottled drinking water and cosmetic products in Indonesia and internationally. It offers bottled drinking water under the Nestle Pure Life and Vica Royal brands; soy milk under the Pureal brand; and beauty care products, such as hair energy and hair recovery products under the Makarizo and Wella brand. The company was founded in 1985 and is headquartered in Jakarta, Indonesia. PT Akasha Wira International Tbk is a subsidiary of Water Partners Bottling S.A.",IDR,Consumer Staples,"Food, Beverage & Tobacco",Beverages,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Jakarta,12520.0,http://www.akashainternational.com,Micro Cap,,00770C101,,,,False
ADHI.JK,PT Adhi Karya (Persero) Tbk,"PT Adhi Karya (Persero) Tbk primarily engages in the construction business in Indonesia. The company undertakes various projects, such as buildings, roads, bridges, water works, airports, seaports, and landmarks. It also involved in the engineering, procurement, and construction activities; development of high rise buildings, such as apartments, hotels, condotels, and office towers; real estate activities; and infrastructure investment business. In addition, the company engages in general trading; information technology; goods procurement; precast concrete; and hotel service businesses, as well as implements railway infrastructure. The company was formerly known as PN Adhi Karya and changed its name to PT Adhi Karya (Persero) Tbk in 1974. PT Adhi Karya (Persero) Tbk was founded in 1960 and is headquartered in Jakarta, Indonesia.",IDR,Industrials,Capital Goods,Construction & Engineering,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Jakarta,12510.0,http://adhi.co.id,Micro Cap,,,,,,False
ADMF.JK,PT Adira Dinamika Multi Finance Tbk,"PT Adira Dinamika Multi Finance Tbk provides consumer financing, murabahah financing, and finance leasing services in Indonesia. The company offers financing for new and used cars and motorcycles, as well as durable goods and other products. The company was founded in 1990 and is based in South Jakarta, Indonesia. PT Adira Dinamika Multi Finance Tbk is a subsidiary of PT Bank Danamon Indonesia Tbk.",IDR,Financials,Diversified Financials,Consumer Finance,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Jakarta Selatan,12920.0,http://adira.co.id,Small Cap,,,,,,False
ADMG.JK,PT. Polychem Indonesia Tbk,"PT. Polychem Indonesia Tbk produces and sells various chemical products and artificial resin in Indonesia, Asia, and Europe. The company offers mono-ethylene glycol, di-ethylene glycol, and tri-ethylene glycol, as well as ethoxylate products and its derivatives, including nonylphenol ethoxylate, fatty alcohol ethoxylate, cement grinding aid, and other related products. It also exports its products. The company was founded in 1986 and is headquartered in Jakarta Pusat, Indonesia.",IDR,,,,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,,,,,,,,,,False
ADRO.JK,PT Adaro Energy Tbk,"PT Adaro Energy Tbk, together with its subsidiaries, operates as an integrated coal mining and energy company in Indonesia. It operates through Coal Mining and Trading; Mining Services; Logistics; and Others segments. The company provides coal mining and trading, mining contracting, quarrying, mining support services, warehousing, coal barging and ship loading, channel dredging and maintenance, stevedoring, port services, forestry, power generation, and water and mud treatment services; and coal handling and barging, terminal handling, farming, trading, power plant, and construction services, as well as repair and installation of machines; manufactures, repairs, and maintains sea transportation; and treats mine water into potable water. It also exports its products to China, Malaysia, Japan, India, South Korea, and internationally. The company was formerly known as PT Padang Karunia and changed its name to PT Adaro Energy Tbk in April 2008. PT Adaro Energy Tbk was founded in 2004 and is headquartered in Jakarta, Indonesia.",IDR,Materials,Materials,Metals & Mining,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Jakarta,12950.0,http://www.adaro.com,Mid Cap,,,BBG000FRJN57,BBG000FRJMN9,BBG001T2NV70,False
AGAR.JK,PT Asia Sejahtera Mina Tbk,"PT Asia Sejahtera Mina Tbk processes and sells seaweeds in Indonesia. The company offers dried Eucheuma cottonii, Eucheuma spinosum, and dried Gracilaria seaweeds. It also exports its products to the Philippines, South America, Denmark, Spain, Malaysia, and China. The company was founded in 2008 and is headquartered in Jakarta Barat, Indonesia.",IDR,Consumer Staples,Household & Personal Products,Household Products,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Jakarta Barat,,http://www.asiamina.com,Nano Cap,,,,,,False
AGII.JK,PT Aneka Gas Industri Tbk,"PT Aneka Gas Industri Tbk produces, markets, and sells industrial gases in Indonesia. The company offers air gases, including oxygen, nitrogen, and argon; fuel gases, such as liquid propane, natural, and liquid petroleum gas; mixed gases comprising compressed natural, environmental calibration, and exhaust emissions engine gases; rare gases consisting of helium, neon, krypton, and xenon; specialty gases, including sulfur hexafluoride, sterilization gas, and ammonia; and synthetic gases, such as hydrogen, acetylene, carbon dioxide, carbon monoxide, nitrous oxide, epoxyethane, and sulfur dioxide. It also provides medical oxygen/respiration gas, medical nitrous oxide gas, medical air gas, medical nitrogen gas, medical CO2, lung function mix gases, calibration gas for blood analysis, laser gas for surgery, and cryopreservation gas. In addition, the company offers medical supply equipment, medical monitoring systems, modular operating theatre products, onsite gas systems, gas handling and cutting equipment, and safety equipment, as well as installation services. Further, it engages in the transportation and storage of low temperature fluids; and provision of low temperature containers for biological specimens, as well as construction, wholesale and retail, gas trading, and car and motorcycle repair and maintenance activities. The company operates approximately 104 filling stations. It serves agriculture and agri, food and beverage, glass, automotive, shipping, spacecraft, aeronautic, mining, oil and gas, machinery and construction, metallurgy, pulp and paper, specialty gas, and electronic and semiconductor industries. PT Aneka Gas Industri Tbk was founded in 1916 and is headquartered in South Jakarta, Indonesia.",IDR,Materials,Materials,Chemicals,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Jakarta Selatan,12850.0,http://www.anekagas.com,Micro Cap,,,,,,False
AGRO.JK,PT Bank Raya Indonesia Tbk,"PT Bank Raya Indonesia Tbk provides financial services in Indonesia. The company offers business and personal loans. It also offers savings accounts. The company was formerly known as PT Bank Rakyat Indonesia Agroniaga Tbk and changed its name to PT Bank Raya Indonesia Tbk in September 2021. PT Bank Raya Indonesia Tbk was founded in 1989 and is based in Jakarta, Indonesia. PT Bank Raya Indonesia Tbk is a subsidiary of PT Bank Rakyat Indonesia (Persero) Tbk.",IDR,,,,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,,,,,,,,,,False
AGRS.JK,PT Bank IBK Indonesia Tbk,"PT Bank IBK Indonesia Tbk provides various banking products and services in Indonesia. The company offers current accounts; savings and time deposits; ATM services; and various loans. The company was founded in 1973 and is headquartered in Jakarta Pusat, Indonesia. PT Bank IBK Indonesia Tbk is a subsidiary of Industrial Bank of Korea.",IDR,,,,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,,,,,,,,,,False
AHAP.JK,PT Asuransi Harta Aman Pratama Tbk,"PT Asuransi Harta Aman Pratama Tbk engages in the general insurance business in Indonesia. It offers property all risk/industrial all risk, fire, earthquake, motor vehicle, marine cargo, and health insurance products, as well as other insurances, such as travel, personal accident, burglary, cash in safe and transit, billboard/neon sign, and electronic equipment insurance products. The company was founded in 1982 and is headquartered in Jakarta, Indonesia. PT Asuransi Harta Aman Pratama Tbk operates as a subsidiary of PT. Asuransi Central Asia.",IDR,Financials,Insurance,Insurance,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Central Jakarta,10220.0,http://www.asuransi-harta.co.id,Nano Cap,,,,,,False
AIMS.JK,PT Akbar Indo Makmur Stimec Tbk,"PT Akbar Indo Makmur Stimec Tbk engages in the coal mining and trading business in Indonesia. The company was founded in 1957 and is headquartered in South Jakarta, Indonesia. PT Akbar Indo Makmur Stimec Tbk is a subsidiary of PT Aims Indo Investama.",IDR,Materials,Materials,Metals & Mining,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Jakarta Selatan,12170.0,http://www.aims.co.id,Nano Cap,,,,,,False
AISA.JK,PT FKS Food Sejahtera Tbk,"PT FKS Food Sejahtera Tbk, together with its subsidiaries, engages in food manufacturing and rice milling businesses in Indonesia. The company offers dried and instant noodles, dried and corn vermicelli, biscuits, candies, and snacks. It is also involved in palm oil plantation activity; and the operation of electric power plant. The company was founded in 1959 and is headquartered in Jakarta Pusat, Indonesia.",IDR,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Jakarta Pusat,10220.0,http://tpsfood.id,Micro Cap,,,,,,False
AKKU.JK,PT Anugerah Kagum Karya Utama Tbk,"PT Anugerah Kagum Karya Utama Tbk, through its subsidiaries, engages in general trading business in Indonesia. The company offers business, management, and administration consulting; mining operations support; general mining management; and hotel management. It is also involved in the rental of heavy equipment. The company was formerly known as PT Alam Karya Unggul Tbk and changed its name to PT Anugerah Kagum Karya Utama Tbk in October 2016. The company was incorporated in 2001 and is headquartered in Jakarta, Indonesia. PT Anugerah Kagum Karya Utama Tbk is a subsidiary of PT Eka Mandiri Anugerah Sejahtera.",IDR,Real Estate,Real Estate,Real Estate Management & Development,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Jakarta,10230.0,http://www.anugerahkagum.com,Nano Cap,,,,,,False
AKPI.JK,PT Argha Karya Prima Industry Tbk,"PT Argha Karya Prima Industry Tbk manufacturers, markets, trades, and distributes flexible packaging films in Indonesia, Asia, Africa, America, the Middle East, Europe, Australia, and New Zealand. It operates through two segments, Manufacturing and Distribution. The company offers biaxially oriented poly propylene films and polyester films. The company was founded in 1980 and is based in Bogor, Indonesia. PT Argha Karya Prima Industry Tbk is a subsidiary of PT Nawa Panduta.",IDR,Consumer Discretionary,Retailing,Distributors,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Bogor,16810.0,http://www.arghakarya.com,Nano Cap,,,,,,False
AKRA.JK,PT AKR Corporindo Tbk,"PT AKR Corporindo Tbk, a logistics and supply chain company, distributes and trades in petroleum and basic chemical products primarily in Indonesia. The company operates in four segments: Trading and Distribution, Logistics Services, Manufacturing, and Industrial Estate. The Trading and Distribution segment distributes petroleum products and various basic chemicals, such as caustic soda, sodium sulphate, PVC resins, and soda ash. The Logistics Services segment provides various logistics services, including rental of storage tanks and warehouses, bagging, port handling, and transportation services primarily for liquid and solid chemical, and petroleum products. The Manufacturing segment produces and sells adhesive materials. The Industrial Estate segment develops, leases, and sells industrial and port estates. The company was formerly known as PT Aneka Kimia Raya Tbk and changed its name to PT AKR Corporindo Tbk in September 2004. The company was incorporated in 1977 and is headquartered in Jakarta, Indonesia. PT AKR Corporindo Tbk is a subsidiary of PT Arthakencana Rayatama.",IDR,Energy,Energy,"Oil, Gas & Consumable Fuels",JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Jakarta,11530.0,http://www.akr.co.id,Small Cap,ID1000106701,,BBG000BVJBC0,BBG000BVJB03,BBG001S74NF0,False
AKSI.JK,PT Maming Enam Sembilan Mineral Tbk,"PT Maming Enam Sembilan Mineral Tbk, through its subsidiary, PT Rezki Batulicin Transport, engages in the field of land transportation in Indonesia. The company's activities include goods and passengers transportation; warehousing; and freight transportation, which includes transportation for goods, containers, and tracking trailers; and mining and petroleum transportation, and transportation for plantation products. It has 6 scania units, 59 dump truck units, 2 water tank units, and 20 units of Volvo double trailers. The company was formerly known as PT Majapahit Inti Corpora Tbk and changed its name to PT Maming Enam Sembilan Mineral Tbk in January 2020. PT Maming Enam Sembilan Mineral Tbk was founded in 1990 and is based in Central Jakarta, Indonesia. PT Maming Enam Sembilan Mineral Tbk is a subsidiary of PT Batulicin Enam Sembilan Transportasi.",IDR,Financials,Diversified Financials,Capital Markets,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Jakarta Selatan,12190.0,http://www.majapahitinticorpora.co.id,Nano Cap,,,,,,False
ALDO.JK,PT Alkindo Naratama Tbk,"PT Alkindo Naratama Tbk produces and sells various paper products in Indonesia. It operates through Paper Converting, Chemical, and Polymer segments. The company offers papercore products, such as STD cores for packaging film, stretch, construction film, and paper mill industries; WG cores for PP film, PE film, coated paper, and towel and tissue paper industries; SPC cores to minimize surface markings, and enhance winding and unwinding characteristics; and Prime cores for delicate plastic and metal foils. It also provides POY, FDY, and drawn textured yarn papertubes for use in various machines in textile yarn and synthetic fibers industries; honeycomb pallets and boxes, layers and pads, furniture cores, and textile boards/spacers under the HEXCELL name; and supporting products, including edge, L-shape, and outer and inner diameter protectors. The company was founded in 1989 and is based in Bandung, Indonesia. PT Alkindo Naratama Tbk is a subsidiary of PT Golden Arista International.",IDR,Materials,Materials,Paper & Forest Products,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Bandung,40553.0,http://www.alkindo.co.id,Micro Cap,,,,,,False
ALKA.JK,PT Alakasa Industrindo Tbk,"PT Alakasa Industrindo Tbk, through its subsidiaries, operates in the aluminum industry in Indonesia. The company operates through Aluminium Industry and Trading segments. It engages in the aluminum extrusion activity; and trading of raw materials, including aluminum raw materials. The company also exports its products. PT Alakasa Industrindo Tbk was founded in 1972 and is based in East Jakarta, Indonesia.",IDR,Materials,Materials,Metals & Mining,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Jakarta Timur,13920.0,http://www.ai.alakasa.co.id,Nano Cap,,,,,,False
ALMI.JK,PT Alumindo Light Metal Industry Tbk,"PT Alumindo Light Metal Industry Tbk manufactures and sells flat rolled aluminum products in Indonesia, the United States, Asia, Europe, Australia, and Middle East. It offers various aluminum products in the form of sheets, coils, and circles; embossed aluminum products primarily for use as roofing, siding, and surface decorations; and aluminum foils. The company provides its products for various applications, such as air cargo containers, cigarette packaging, condensors and fin stocks, cooking utensils, curtain walls, food containers and gasmats, food packaging, packaging caps, pharmaceutical packaging, reflectors, and trains. PT Alumindo Light Metal Industry Tbk was founded in 1978 and is headquartered in Surabaya, Indonesia.",IDR,Materials,Materials,Metals & Mining,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Surabaya,60162.0,http://www.alumindo.com,Nano Cap,,,,,,False
ALTO.JK,PT Tri Banyan Tirta Tbk,"PT Tri Banyan Tirta Tbk manufactures and sells bottled mineral and flavored water under the Alto and Total brand names in Indonesia. It also sells alkaline water products under the Total 8+ brand. In addition, the company operates as an original equipment manufacturer for bottled VIT products. It serves plastic packaging, food, beverages, and canning/bottling industries, as well as packaging materials sector. The company was founded in 1997 and is headquartered in Sukabumi, Indonesia. PT Tri Banyan Tirta Tbk is a subsidiary of PT Fikasa Bintang Cemerlang.",IDR,Consumer Staples,"Food, Beverage & Tobacco",Beverages,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Sukabumi,43158.0,http://www.altospringswater.com,Micro Cap,,021513106,,,,False
AMAG.JK,P.T. Asuransi Multi Artha Guna Tbk,"P.T. Asuransi Multi Artha Guna Tbk provides a range of general insurance and reinsurance products in Indonesia. The company offers fire, earthquake, property / industrial all risk, heavy equipment, cargo/transportation, burglary, money, personal accident, health, travel, and suretyship insurance products. It also offers machinery, car loan, garage keeper liability, retail credit, oil and gas, business protection plus, fidelity guarantee, moveable all-risks, hole-in-one, neon sign, magna micro business, market consortium, magna credit, liability, micro standard, terrorism and sabotage, and marine hull insurance products, as well as insurance for cash in ATM and cash in management. It operates through a network of 20 branches and 16 representative offices. The company was founded in 1980 and is headquartered in Central Jakarta, Indonesia. P.T. Asuransi Multi Artha Guna Tbk is a subsidiary of Fairfax Asia Limited.",IDR,Financials,Insurance,Insurance,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Jakarta,10220.0,http://www.mag.co.id,Micro Cap,,,,,,False
AMAN.JK,PT Makmur Berkah Amanda Tbk,"PT Makmur Berkah Amanda Tbk operates as a property developer in Indonesia. It develops residential, warehouse, and commercial properties. The company was founded in 1996 and is headquartered in Jakarta Barat, Indonesia.",IDR,Real Estate,Real Estate,Real Estate Management & Development,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Jakarta Barat,11470.0,http://www.mbagroup.id,Micro Cap,,,,,,False
AMAR.JK,PT Bank Amar Indonesia Tbk,"PT Bank Amar Indonesia Tbk provides banking products and services in Indonesia. The company operates through Online, Brick and mortar, and Head Office segments. Its deposit products include demand, saving, and time deposit; certificate of deposit; and other form of deposits, including deposit from other banks. The company also offers working capital loans and investment loans, such as installment, fixed, demand, and stand by; consumer loans, such as multi-purpose loans; housing, consumer, and third-party loans; and debit cards. In addition, it provides digital account opening, transfer, direct debit, QRSI payment, settlement, bill payment, financial, and treasury management services. The company was formerly known as PT. Anglomas International Bank and changed its name to PT Bank Amar Indonesia in 2014. PT Bank Amar Indonesia Tbk was founded in 1991 and is headquartered in Setiabudi, Indonesia. PT Bank Amar Indonesia Tbk is a subsidiary of Tolaram Pte. Ltd.",IDR,,,,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,,,,,,,,,,False
AMFG.JK,PT Asahimas Flat Glass Tbk,"PT Asahimas Flat Glass Tbk manufactures and sells flat glass and automotive glass products in Indonesia. The Flat Glass segment offers a range of clear and tinted, figured, reflective, coated, and mirror glasses, which are used for glass curtain walls, window glass, and suspended glass in building construction, as well as a raw material for the downstream industry. The Automotive Glass segment provides automotive, tempered, and laminated glasses that are primarily used in the automotive industry. The company also provides automotive glass repair and installation services. It also exports its products. The company was formerly known as PT Asahimas Flat Glass Co., Ltd. and changed its name to PT Asahimas Flat Glass Tbk in June 1998. PT Asahimas Flat Glass Tbk was founded in 1971 and is headquartered in North Jakarta, Indonesia.",IDR,Industrials,Capital Goods,Building Products,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Jakarta Utara,14430.0,http://www.amfg.co.id,Micro Cap,,,,,,False
AMIN.JK,PT Ateliers Mecaniques D'Indonesie Tbk,"PT Ateliers Mecaniques D'Indonesie Tbk designs, manufactures, and erects boilers in Indonesia, Cameroon, the Republic of Cote D'Ivoire, Papua New Guinea, Nigeria, Liberia, Malaysia, and Sao Tome and Principe. It offers solid fuel membrane wall boilers, solid fuel brick wall boilers, combi boilers, and firetube boilers. The company also provides horizontal and vertical sterilizers; sterilizer doors; and deaerators for use in the removal of air and other dissolved gases primarily oxygen from the feed water to boiler drum. In addition, it offers air-preheater, economizer, superheater, and dust collectors; palm oil mill equipment; and designs and fabricates pressure vessel tanks, piping systems, and boilers for the palm oil industry. Further, the company is involved in the trade and assembly of a range of machinery; plant/factory construction activities; and provision of repair, modification, technical, contract, maintenance, and replacement of parts services, as well as agency and marketing activities. It serves palm oil processing factories, rubber processing factories, wood processing factories, steam power plants, sugar factories; and chemical, textile, hotel, laundry, and other factories. The company was founded in 1972 and is headquartered in Deli Serdang, Indonesia. PT Ateliers Mecaniques D'Indonesie Tbk is a subsidiary of Sphere Corporation SDN BHD.",IDR,,,,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,,,,,,,,,,False
AMOR.JK,PT Ashmore Asset Management Indonesia Tbk,"PT Ashmore Asset Management Indonesia Tbk s an investment management company. The firm was founded in 2010 and is headquartered in Jakarta Utara, Jakarta Raya, Indonesia.",IDR,,,,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,,,,,,,,,,False
AMRT.JK,PT Sumber Alfaria Trijaya Tbk,"PT Sumber Alfaria Trijaya Tbk engages in the retail distribution of consumer products in Indonesia. The company's stores offer food and non-food products. It also provides transportation and freight forwarding services; and operates a pharmacy, as well as engages in the retail distribution of cosmetics. PT Sumber Alfaria Trijaya Tbk sells its products through 17,538 stores under the Alfamart, Alfamidi, Lawson, and Dan+Dan names, as well as through the internet. The company was founded in 1989 and is headquartered in Tangerang, Indonesia. PT Sumber Alfaria Trijaya Tbk is a subsidiary of PT Sigmantara Alfindo.",IDR,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Tangerang,15143.0,http://alfamart.co.id,Mid Cap,,,,,,False
ANDI.JK,"PT. Andira Agro, Tbk","PT Andira Agro Tbk owns, operates, and manages a crude palm oil mill and oil plantations in Indonesia. The company is involved in cultivating and harvesting fresh fruit bunches (FFB) from palm trees, as well as extracting and refining crude palm oil and palm kernel from FFB. It owns a total concession of 12,172 hectares. The company was founded in 1995 and is based in East Jakarta, Indonesia.",IDR,Consumer Staples,Household & Personal Products,Household Products,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,East Jakarta,13350.0,http://www.andiraagro.com,Nano Cap,,,,,,False
ANJT.JK,PT Austindo Nusantara Jaya Tbk,"PT Austindo Nusantara Jaya Tbk engages in the oil palm plantation business in Indonesia. It operates in four segments: Palm Oil, Sago, Energy, and Others. The company offers crude palm oil and palm kernel, edamame, as well as processes tobacco; and produces sago starch. It also operates renewable energy biogas plant in Belitung Island. The company was formerly known as PT Austindo Teguh Jaya. PT Austindo Nusantara Jaya Tbk was founded in 1993 and is headquartered in Jakarta, Indonesia.",IDR,Consumer Staples,Household & Personal Products,Household Products,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Jakarta,12950.0,http://www.anj-group.com,Micro Cap,,,,,,False
ANTM.JK,PT Aneka Tambang Tbk,"PT Aneka Tambang Tbk operates as a diversified mining and metals company in Indonesia. The company operates through three segments: Nickel, Precious Metals and Refinery, and Bauxite and Alumina. It is involved in the exploration, excavation, processing, and marketing of alumia, nickel ore, ferronickel, gold, silver, bauxite, and coal. The company also engages in the construction, trading, industry, agriculture, printing, and ground transportation businesses; manufacture and sale of stainless steel; and provision of industrial area management and heavy equipment rental services. It also exports its products. The company was incorporated in 1968 and is headquartered in Jakarta, Indonesia. PT Aneka Tambang Tbk is a subsidiary of PT Indonesia Asahan Aluminium (Persero).",IDR,Materials,Materials,Metals & Mining,JKT,XIDX,Indonesia Stock Exchange,Indonesia,,Jakarta,12530.0,http://www.antam.com,Mid Cap,,,BBG000BGW9S6,BBG000BGW9C3,BBG001S7Q1P3,False
